,source_text,plagiarized_text,label
57,Isaac Newton formulated the laws of motion and universal gravitation.,The laws of motion and universal gravitation were formulated by Isaac Newton.,1
58,The Blue Whale is the largest animal on Earth.,Earth's largest animal is the Blue Whale.,1
59,Lightning is a sudden electrostatic discharge during a storm.,A storm's sudden electrostatic discharge is lightning.,1
60,Charles Darwin proposed the theory of natural selection.,The theory of natural selection was proposed by Charles Darwin.,1
61,"The Golden Gate Bridge is located in San Francisco, California.","San Francisco, California is where the Golden Gate Bridge is located.",1
62,Photosynthesis converts carbon dioxide and water into glucose and oxygen.,Carbon dioxide and water are converted into glucose and oxygen through photosynthesis.,1
63,The Dead Sea is one of the saltiest bodies of water in the world.,One of the world's saltiest bodies of water is the Dead Sea.,1
64,Albert Einstein's equation E=mc² relates energy to mass.,The relation between energy and mass is given by Albert Einstein's equation E=mc².,1
65,The Amazon Rainforest is often called the 'lungs of the Earth'.,The 'lungs of the Earth' is a common nickname for the Amazon Rainforest.,1
66,Venus rotates in the opposite direction to most planets in the solar system.,Most planets in the solar system rotate in the opposite direction to Venus.,1
67,The Leaning Tower of Pisa is famous for its unintended tilt.,The unintended tilt of the Leaning Tower of Pisa makes it famous.,1
68,Jupiter has the shortest day of all the planets in the solar system.,The shortest day of all the planets in the solar system is on Jupiter.,1
69,Florence Nightingale is considered the founder of modern nursing.,The founder of modern nursing is considered to be Florence Nightingale.,1
70,"Hurricanes are large, powerful storms that form over warm ocean waters.","Warm ocean waters give rise to large, powerful storms known as hurricanes.",1
71,The Colosseum in Rome is an ancient amphitheater.,Rome's ancient amphitheater is the Colosseum.,1
72,Honey bees are vital for pollination of many crops.,Pollination of many crops is crucially carried out by honey bees.,1
73,The Mona Lisa is displayed in the Louvre Museum in Paris.,The Louvre Museum in Paris displays the Mona Lisa.,1
74,The Earth's atmosphere is composed primarily of nitrogen and oxygen.,Nitrogen and oxygen primarily make up the Earth's atmosphere.,1
75,"The Great Wall of China stretches over 13,000 miles.","Over 13,000 miles long is the Great Wall of China.",1
76,Neil Armstrong was the first person to set foot on the moon.,The first person to set foot on the moon was Neil Armstrong.,1
77,Water freezes at 0 degrees Celsius.,0 degrees Celsius is the freezing point of water.,1
78,The Leaning Tower of Pisa is known for its unintended tilt.,The unintended tilt of the Leaning Tower of Pisa is well-known.,1
79,Electric cars produce no emissions during operation.,"During operation, electric cars produce no emissions.",1
80,Bees produce honey from the nectar of flowers.,Honey is produced by bees from the nectar of flowers.,1
81,The Sun is the center of our solar system.,Our solar system's center is the Sun.,1
83,Mount Kilimanjaro is the highest mountain in Africa.,Africa's highest mountain is Mount Kilimanjaro.,1
84,The Eiffel Tower is one of the most recognizable structures in the world.,One of the world's most recognizable structures is the Eiffel Tower.,1
85,Julius Caesar was assassinated in 44 BC.,"In 44 BC, Julius Caesar was assassinated.",1
86,The Pacific Ocean is the largest and deepest ocean on Earth.,Earth's largest and deepest ocean is the Pacific Ocean.,1
87,Venus is the hottest planet in our solar system.,The hottest planet in our solar system is Venus.,1
88,Shakespeare wrote 'Romeo and Juliet'.,'Romeo and Juliet' was written by Shakespeare.,1
91,Elephants are the largest land animals on Earth.,The largest land animals on Earth are elephants.,1
93,DNA stands for deoxyribonucleic acid.,Deoxyribonucleic acid is abbreviated as DNA.,1
104,The Sahara Desert is the largest hot desert in the world.,The world's largest hot desert is the Sahara Desert.,1
107,The Great Wall of China is visible from space.,"From space, the Great Wall of China is visible.",1
110,The Amazon Rainforest is the largest tropical rainforest in the world.,The world's largest tropical rainforest is the Amazon Rainforest.,1
120,Lightning is a natural phenomenon.,A natural phenomenon is lightning.,0
121,Python is used for web development.,Web development uses Python.,0
122,Bananas are rich in potassium.,Potassium is rich in bananas.,0
123,The sky is blue.,Blue is the sky.,0
124,JavaScript is popular for front-end development.,Front-end development is popular for JavaScript.,0
125,Dogs are known as man's best friend.,Man's best friend is known as dogs.,0
126,The sun rises in the east.,"In the east, the sun rises.",0
127,Books are a source of knowledge.,A source of knowledge are books.,0
128,Cars need fuel to run.,"To run, cars need fuel.",0
129,Water boils at 100 degrees Celsius.,"At 100 degrees Celsius, water boils.",0
130,Chocolate is made from cocoa beans.,Cocoa beans make chocolate.,0
131,Birds can fly.,Flying is a capability of birds.,0
132,Coffee contains caffeine.,Caffeine is contained in coffee.,0
133,The Earth is round.,Round is the Earth.,0
134,Apples are a type of fruit.,A type of fruit is apples.,0
135,The color of grass is green.,Green is the color of grass.,0
136,Rain falls from clouds.,"From clouds, rain falls.",0
137,Elephants are large animals.,Large animals are elephants.,0
138,Fire produces heat.,Heat is produced by fire.,0
139,Music can be soothing.,Soothing can be music.,0
140,The Moon affects tides.,Tides are affected by the Moon.,0
141,Cats are often kept as pets.,Pets are often kept as cats.,0
142,Bread is made from flour.,Flour makes bread.,0
143,Flowers bloom in spring.,"In spring, flowers bloom.",0
144,The color of the sky is blue.,Blue is the color of the sky.,0
145,Butterflies have colorful wings.,Colorful wings are possessed by butterflies.,0
146,Winter is the coldest season.,The coldest season is winter.,0
147,Summer is the warmest season.,The warmest season is summer.,0
148,Ice melts at 0 degrees Celsius.,"At 0 degrees Celsius, ice melts.",0
149,Trees produce oxygen.,Oxygen is produced by trees.,0
150,Sunflowers turn to face the sun.,The sun is faced by sunflowers.,0
151,Books can be informative.,Informative can be books.,0
152,The library is a place to read.,A place to read is the library.,0
153,The ocean is vast.,Vast is the ocean.,0
154,Mountains are tall.,Tall are mountains.,0
155,Rivers flow to the sea.,"To the sea, rivers flow.",0
156,Pineapples are tropical fruits.,Tropical fruits are pineapples.,0
157,Butter is made from milk.,Milk makes butter.,0
158,Rainbows appear after rain.,"After rain, rainbows appear.",0
159,Leaves change color in autumn.,"In autumn, leaves change color.",0
160,Spiders spin webs.,Webs are spun by spiders.,0
161,The Statue of Liberty is located in New York Harbor.,New York Harbor is where the Statue of Liberty stands.,1
162,The human body is composed of approximately 60% water.,About 60% of the human body is made up of water.,1
163,Albert Einstein developed the theory of general relativity.,The theory of general relativity was formulated by Albert Einstein.,1
164,The Taj Mahal was built by Emperor Shah Jahan.,Emperor Shah Jahan built the Taj Mahal.,1
165,The Pacific Ocean is the largest ocean on Earth.,The Earth's largest ocean is the Pacific Ocean.,1
166,Leonardo da Vinci was a famous Italian polymath.,A renowned Italian polymath was Leonardo da Vinci.,1
167,The Amazon River flows through South America.,South America is traversed by the Amazon River.,1
168,"Thomas Edison held over 1,000 patents.","Over 1,000 patents were held by Thomas Edison.",1
169,The Sahara Desert covers much of North Africa.,North Africa is largely covered by the Sahara Desert.,1
170,Jupiter is the largest planet in our solar system.,The solar system's largest planet is Jupiter.,1
171,The Great Barrier Reef is the world's largest coral reef system.,The largest coral reef system in the world is the Great Barrier Reef.,1
172,"The human heart beats about 100,000 times a day.","About 100,000 beats per day are made by the human heart.",1
173,Bacteria can reproduce rapidly under ideal conditions.,"Under ideal conditions, bacteria can reproduce quickly.",1
174,Venus is often referred to as Earth's sister planet.,Earth's sister planet is often said to be Venus.,1
175,The Milky Way is the galaxy that contains our Solar System.,Our Solar System is within the galaxy known as the Milky Way.,1
176,The Earth's crust is made up of tectonic plates.,Tectonic plates make up the Earth's crust.,1
177,The Eiffel Tower was completed in 1889.,1889 saw the completion of the Eiffel Tower.,1
178,Photosynthesis occurs in the chloroplasts of plant cells.,Plant cells' chloroplasts are the site of photosynthesis.,1
179,The speed of sound is approximately 343 meters per second in air.,"In air, sound travels at about 343 meters per second.",1
180,Bees play a crucial role in pollinating plants.,Pollinating plants is a crucial role played by bees.,1
181,Mount Everest is located in the Himalayas.,The Himalayas are home to Mount Everest.,1
182,The moon affects the Earth's tides.,Earth's tides are affected by the moon.,1
183,The Amazon rainforest is home to a vast number of species.,A vast number of species live in the Amazon rainforest.,1
184,The Rosetta Stone was key to deciphering Egyptian hieroglyphs.,Deciphering Egyptian hieroglyphs was made possible by the Rosetta Stone.,1
185,The Pacific Ocean covers more than 60 million square miles.,Over 60 million square miles are covered by the Pacific Ocean.,1
186,Albert Einstein was born in Germany.,Germany is the birthplace of Albert Einstein.,1
187,The Sahara Desert is one of the hottest places on Earth.,One of Earth's hottest places is the Sahara Desert.,1
188,The Earth's atmosphere protects us from harmful solar radiation.,Harmful solar radiation is blocked by the Earth's atmosphere.,1
189,Venus has a very thick atmosphere composed mostly of carbon dioxide.,"A thick atmosphere, mostly carbon dioxide, covers Venus.",1
190,The Eiffel Tower was designed by Gustave Eiffel.,Gustave Eiffel designed the Eiffel Tower.,1
191,Mars has the largest volcano in the solar system.,The largest volcano in the solar system is on Mars.,1
192,The Blue Whale is the largest animal ever known to have lived.,The largest known animal ever to have lived is the Blue Whale.,1
193,The Leaning Tower of Pisa is a freestanding bell tower.,A freestanding bell tower is the Leaning Tower of Pisa.,1
194,Shakespeare's plays are still performed today.,"Today, Shakespeare's plays are still performed.",1
195,The Pacific Ocean is the deepest ocean on Earth.,Earth's deepest ocean is the Pacific Ocean.,1
196,Florence Nightingale is known as the founder of modern nursing.,The founder of modern nursing is Florence Nightingale.,1
197,Electric cars produce zero emissions while driving.,"While driving, electric cars produce zero emissions.",1
198,The Statue of Liberty was a gift from France.,France gifted the Statue of Liberty.,1
199,The Amazon River is the second longest river in the world.,The world's second longest river is the Amazon River.,1
200,Charles Darwin developed the theory of evolution by natural selection.,The theory of evolution by natural selection was developed by Charles Darwin.,1
201,Mercury is the smallest planet in our solar system.,The smallest planet in our solar system is Mercury.,1
202,Lightning is a natural electrical discharge.,An electrical discharge occurring naturally is lightning.,1
203,The Leaning Tower of Pisa leans due to unstable foundation.,Unstable foundation causes the Leaning Tower of Pisa to lean.,1
204,DNA is the molecule that carries genetic information.,Genetic information is carried by the molecule known as DNA.,1
205,The human brain has approximately 86 billion neurons.,About 86 billion neurons are in the human brain.,1
206,The Amazon Rainforest is often called the 'lungs of the planet'.,The 'lungs of the planet' often refer to the Amazon Rainforest.,1
207,Venus has a surface temperature hot enough to melt lead.,The surface temperature of Venus is hot enough to melt lead.,1
208,Thomas Edison invented the phonograph.,The phonograph was invented by Thomas Edison.,1
209,Daily exercise promotes good health.,Good health is promoted by daily exercise.,0
210,Effective communication prevents misunderstandings.,Misunderstandings are prevented by effective communication.,0
211,Positive thinking can lead to better outcomes.,Better outcomes are achieved through positive thinking.,0
212,Learning a new language opens up opportunities.,Opportunities are opened up by learning a new language.,0
213,Teamwork leads to more efficient problem solving.,Problems are solved more efficiently through teamwork.,0
214,Time management is crucial for productivity.,Productivity relies on effective time management.,0
215,Balanced diets contribute to overall wellness.,Overall wellness is enhanced by balanced diets.,0
216,History helps us understand our present.,Understanding our present is aided by history.,0
217,Art can express complex emotions.,Complex emotions are expressed through art.,0
218,Sustainable practices protect our environment.,Our environment is protected by sustainable practices.,0
219,Critical thinking is essential in decision making.,Decision making is improved by critical thinking.,0
220,Good habits form the basis of a successful life.,A successful life is built on good habits.,0
221,Volunteering builds community connections.,Community connections are strengthened by volunteering.,0
222,Meditation can enhance mental clarity.,Mental clarity is improved by meditation.,0
223,Quality sleep is vital for overall health.,Overall health is supported by quality sleep.,0
224,Education broadens our perspective.,Our perspective is broadened by education.,0
225,Gardening can be a therapeutic activity.,Therapeutic benefits can be found in gardening.,0
226,Adventures make life more exciting.,Life becomes more exciting through adventures.,0
227,Technology is advancing at a rapid pace.,The pace of technological advancement is rapid.,0
228,Networking can lead to career opportunities.,Career opportunities arise through networking.,0
229,Sharks have existed for over 400 million years.,"For over 400 million years, sharks have existed.",1
230,Mount Everest is the highest peak in the world.,The world's highest peak is Mount Everest.,1
231,Bees can recognize human faces.,Human faces can be recognized by bees.,1
232,The Great Wall of China was built over several dynasties.,Several dynasties saw the building of the Great Wall of China.,1
233,The human body contains 206 bones.,206 bones are contained in the human body.,1
234,Albert Einstein's equation E=mc² is famous.,"The equation E=mc², by Albert Einstein, is famous.",1
235,Saturn's rings are made of ice and rock.,Ice and rock make up Saturn's rings.,1
236,The Milky Way galaxy is spiral-shaped.,A spiral shape describes the Milky Way galaxy.,1
237,The speed of light is the fastest speed in the universe.,The universe's fastest speed is the speed of light.,1
238,Shakespeare's works are considered literary classics.,Literary classics include Shakespeare's works.,1
239,The Pacific Ocean is larger than all the landmasses combined.,All landmasses combined are smaller than the Pacific Ocean.,1
240,Mount Everest is part of the Himalaya mountain range.,The Himalaya mountain range includes Mount Everest.,1
241,"The Great Wall of China is over 13,000 miles long.","Over 13,000 miles long is the Great Wall of China.",1
242,The Earth rotates on its axis once every 24 hours.,"Every 24 hours, the Earth rotates on its axis.",1
243,The Great Barrier Reef is a UNESCO World Heritage site.,A UNESCO World Heritage site is the Great Barrier Reef.,1
244,Julius Caesar was a Roman general and statesman.,A Roman general and statesman was Julius Caesar.,1
245,Albert Einstein was awarded the Nobel Prize in Physics in 1921.,"In 1921, the Nobel Prize in Physics was awarded to Albert Einstein.",1
246,The Earth's atmosphere consists of 78% nitrogen.,78% of the Earth's atmosphere consists of nitrogen.,1
247,The Leaning Tower of Pisa is located in Italy.,Italy is home to the Leaning Tower of Pisa.,1
248,The Amazon Rainforest produces 20% of the world's oxygen.,20% of the world's oxygen is produced by the Amazon Rainforest.,1
249,The Earth revolves around the Sun in 365 days.,"In 365 days, the Earth revolves around the Sun.",1
250,Venus has a surface covered with volcanoes and lava plains.,Volcanoes and lava plains cover the surface of Venus.,1
251,Sharks have multiple rows of teeth.,Multiple rows of teeth are possessed by sharks.,1
252,The human eye can distinguish approximately 10 million colors.,About 10 million colors can be distinguished by the human eye.,1
254,"Mount Everest's summit reaches an altitude of 29,032 feet.","An altitude of 29,032 feet is reached by Mount Everest's summit.",1
255,The Milky Way contains billions of stars.,Billions of stars are contained in the Milky Way.,1
256,Shakespeare's 'Romeo and Juliet' is a tragedy.,A tragedy is Shakespeare's 'Romeo and Juliet'.,1
257,"The Pacific Ocean has an average depth of 12,080 feet.","12,080 feet is the average depth of the Pacific Ocean.",1
258,Saturn is known for its prominent ring system.,A prominent ring system characterizes Saturn.,1
259,The Amazon River discharges more water than any other river.,More water is discharged by the Amazon River than any other.,1
260,The Earth's magnetic field protects us from solar wind.,Solar wind is deflected by the Earth's magnetic field.,1
261,Albert Einstein was a theoretical physicist.,A theoretical physicist was Albert Einstein.,1
262,Sharks are apex predators in the ocean.,"In the ocean, apex predators include sharks.",1
263,Mount Everest's height increases due to tectonic activity.,Tectonic activity causes an increase in Mount Everest's height.,1
264,Venus is the second planet from the Sun.,The second planet from the Sun is Venus.,1
265,DNA is a double-helix structure.,A double-helix structure describes DNA.,1
266,Thomas Edison was a prolific inventor.,A prolific inventor was Thomas Edison.,1
267,The Great Wall of China can be seen from space.,"From space, the Great Wall of China is visible.",1
268,The Pacific Ocean's name means 'peaceful ocean'.,The name of the Pacific Ocean means 'peaceful ocean'.,1
269,The Milky Way is part of the Local Group of galaxies.,The Local Group of galaxies includes the Milky Way.,1
270,Saturn's largest moon is Titan.,Titan is Saturn's largest moon.,1
272,The Great Barrier Reef is located off the coast of Australia.,Off the coast of Australia is the Great Barrier Reef.,1
273,Venus has a day longer than its year.,A day on Venus is longer than its year.,1
274,Sharks have been around for over 400 million years.,"For over 400 million years, sharks have existed.",1
275,The human brain is protected by the skull.,The skull protects the human brain.,1
276,Albert Einstein's theory of relativity revolutionized physics.,Physics was revolutionized by Albert Einstein's theory of relativity.,1
277,DNA carries genetic information.,Genetic information is carried by DNA.,1
